name,title,experience,skills,location,notice_days,email
Asha Raman 1,Data Analyst,6,"dax,power query,excel,power bi",Bangalore,60,user1@example.com
Sneha R 2,Business Analyst,3,"excel,power query,python,power bi",Mumbai,90,user2@example.com
Kiran S 3,Business Analyst,1,"power query,python,tableau,power bi",Bangalore,15,user3@example.com
Naveen G 4,BI Analyst,5,"python,azure,excel,sql",Pune,90,user4@example.com
Meera V 5,Reporting Analyst,7,"dax,excel,power bi,python,azure",Bangalore,60,user5@example.com
Meera V 6,Business Analyst,6,"excel,power query,tableau,power bi,python",Pune,60,user6@example.com
Asha Raman 7,Reporting Analyst,3,"azure,power bi,python",Chennai,90,user7@example.com
Divya M 8,Power BI Developer,6,"tableau,power bi,sql,dax",Hyderabad,15,user8@example.com
Meera V 9,Power BI Developer,4,"azure,power bi,tableau,power query,excel",Chennai,45,user9@example.com
Sneha R 10,Reporting Analyst,3,"azure,power bi,python",Chennai,45,user10@example.com
Vikram T 11,Power BI Developer,6,"python,tableau,power query,excel,sql",Pune,15,user11@example.com
Rahul N 12,BI Analyst,7,"sql,excel,python,power query",Chennai,45,user12@example.com
Asha Raman 13,Business Analyst,4,"sql,power query,tableau,excel,python",Pune,15,user13@example.com
Meera V 14,Reporting Analyst,1,"sql,power query,azure,excel,dax",Pune,60,user14@example.com
Sneha R 15,Power BI Developer,2,"python,sql,power bi,dax",Pune,45,user15@example.com
Vikram T 16,Business Analyst,6,"python,tableau,excel,dax,power query",Bangalore,45,user16@example.com
Rahul N 17,Reporting Analyst,6,"python,tableau,power query,sql,azure",Hyderabad,30,user17@example.com
Meera V 18,Reporting Analyst,8,"excel,sql,power query,python",Mumbai,90,user18@example.com
Priya K 19,Power BI Developer,1,"sql,azure,excel,dax,power bi",Chennai,90,user19@example.com
Arun P 20,BI Analyst,6,"sql,dax,python",Mumbai,90,user20@example.com
Kiran S 21,BI Analyst,6,"excel,dax,tableau,python,azure",Bangalore,60,user21@example.com
Asha Raman 22,Reporting Analyst,1,"tableau,azure,power query",Chennai,90,user22@example.com
Arun P 23,Business Analyst,6,"sql,dax,python,tableau,power bi",Mumbai,90,user23@example.com
Meera V 24,Reporting Analyst,6,"power query,dax,tableau,sql",Bangalore,30,user24@example.com
Sneha R 25,Reporting Analyst,5,"excel,dax,tableau,sql",Bangalore,90,user25@example.com
Priya K 26,Data Analyst,5,"dax,python,power bi",Chennai,45,user26@example.com
Asha Raman 27,BI Analyst,1,"tableau,python,sql",Hyderabad,15,user27@example.com
Naveen G 28,BI Analyst,7,"tableau,sql,python,dax",Chennai,30,user28@example.com
Sneha R 29,Power BI Developer,8,"excel,tableau,power query,azure",Chennai,60,user29@example.com
Meera V 30,BI Analyst,6,"dax,python,sql",Bangalore,30,user30@example.com
Naveen G 31,Business Analyst,5,"tableau,sql,azure",Chennai,45,user31@example.com
Naveen G 32,BI Analyst,6,"dax,power bi,python,tableau,sql",Mumbai,30,user32@example.com
Naveen G 33,Business Analyst,4,"dax,python,excel,sql",Pune,90,user33@example.com
Arun P 34,Power BI Developer,4,"power bi,python,sql",Chennai,30,user34@example.com
Rahul N 35,Reporting Analyst,4,"tableau,power bi,python",Hyderabad,60,user35@example.com
Vikram T 36,Reporting Analyst,7,"tableau,sql,dax,azure,power bi",Chennai,30,user36@example.com
Asha Raman 37,Power BI Developer,5,"sql,excel,python",Chennai,90,user37@example.com
Sneha R 38,Data Analyst,4,"dax,python,power bi,power query",Chennai,15,user38@example.com
Vikram T 39,Business Analyst,8,"dax,excel,tableau",Mumbai,30,user39@example.com
Rahul N 40,Data Analyst,8,"excel,dax,python,power query,sql",Mumbai,30,user40@example.com
Meera V 41,Data Analyst,5,"power query,python,sql,dax",Mumbai,60,user41@example.com
Priya K 42,Reporting Analyst,3,"azure,tableau,excel,power query",Chennai,45,user42@example.com
Vikram T 43,Data Analyst,6,"sql,excel,python,azure",Bangalore,45,user43@example.com
Priya K 44,Data Analyst,3,"excel,tableau,power bi,azure,power query",Mumbai,90,user44@example.com
Naveen G 45,Data Analyst,4,"azure,tableau,dax",Chennai,60,user45@example.com
Divya M 46,Data Analyst,6,"dax,tableau,power bi,excel",Chennai,45,user46@example.com
Asha Raman 47,Power BI Developer,5,"python,tableau,power bi,excel,dax",Bangalore,15,user47@example.com
Vikram T 48,Data Analyst,4,"azure,excel,dax,python",Mumbai,90,user48@example.com
Arun P 49,Data Analyst,6,"power bi,dax,sql,azure,tableau",Pune,90,user49@example.com
Arun P 50,Power BI Developer,4,"tableau,python,azure,power query,dax",Mumbai,15,user50@example.com
Arun P 51,Business Analyst,8,"excel,azure,power query",Pune,90,user51@example.com
Vikram T 52,Business Analyst,8,"excel,tableau,dax,python,power query",Mumbai,15,user52@example.com
Meera V 53,Power BI Developer,4,"python,azure,power query",Hyderabad,15,user53@example.com
Priya K 54,Business Analyst,2,"excel,sql,tableau,python",Pune,90,user54@example.com
Sneha R 55,Reporting Analyst,4,"sql,azure,tableau",Hyderabad,45,user55@example.com
Vikram T 56,Reporting Analyst,1,"azure,sql,power query,power bi,python",Pune,45,user56@example.com
Arun P 57,Business Analyst,1,"python,tableau,power bi,power query",Mumbai,15,user57@example.com
Sneha R 58,Business Analyst,4,"sql,python,power query,power bi,tableau",Bangalore,15,user58@example.com
Arun P 59,Power BI Developer,7,"azure,power bi,tableau,excel,dax",Hyderabad,30,user59@example.com
Priya K 60,Reporting Analyst,3,"python,tableau,azure,sql",Pune,30,user60@example.com
Vikram T 61,Reporting Analyst,1,"python,sql,excel,power query",Chennai,15,user61@example.com
Rahul N 62,Data Analyst,1,"power query,python,dax",Pune,30,user62@example.com
Arun P 63,Reporting Analyst,5,"tableau,sql,dax,azure",Pune,60,user63@example.com
Asha Raman 64,Reporting Analyst,1,"sql,power query,python,dax",Mumbai,15,user64@example.com
Vikram T 65,Business Analyst,6,"power query,tableau,power bi,dax,sql",Hyderabad,60,user65@example.com
Sneha R 66,Business Analyst,2,"power bi,excel,tableau,dax,azure",Bangalore,45,user66@example.com
Divya M 67,Reporting Analyst,5,"tableau,excel,python,dax,azure",Chennai,90,user67@example.com
Naveen G 68,Reporting Analyst,4,"tableau,azure,power query",Chennai,45,user68@example.com
Divya M 69,Business Analyst,2,"tableau,azure,power bi,sql,dax",Chennai,30,user69@example.com
Meera V 70,BI Analyst,1,"dax,excel,power bi",Hyderabad,45,user70@example.com
Arun P 71,Reporting Analyst,7,"dax,power bi,azure,python",Chennai,15,user71@example.com
Naveen G 72,Power BI Developer,1,"tableau,power query,python,excel",Bangalore,30,user72@example.com
